policy_number;start_date;end_date;cancellation_date;premium;discount;year
1;23.02.2018;23.02.2019;30.06.2018;147,4906293;20,18875605;2018
2;03.08.2017;03.08.2018;03.08.2018;317,2212345;0,138256759;2017
3;29.09.2017;29.09.2018;11.01.2018;199,4829242;0,311897116;2017
4;10.04.2019;10.04.2020;;278,8296684;0,875427855;2019
5;15.09.2016;15.09.2017;;81,87654813;0,763220752;2016
6;24.11.2017;24.11.2018;24.11.2018;304,8214651;3,826148551;2017
8;23.06.2019;23.06.2020;;188,1905533;20,16960149;2019
11;01.02.2018;04.12.2018;03.06.2018;224,2414565;10,1084481;2018
12;25.02.2016;25.02.2017;;123,3575382;0,202397113;2016
13;06.04.2018;06.04.2019;13.04.2018;262,9288034;0,904836759;2018
15;06.05.2016;06.05.2017;03.04.2017;226,1119902;0,813291511;2016
16;04.03.2016;04.03.2017;;171,7787285;0,649257505;2016
19;16.01.2019;16.01.2020;;196,1609856;0,674237339;2019
20;17.10.2018;17.10.2019;;162,838184;0,62022765;2018
21;01.06.2016;01.06.2017;;357,478383;0,602994894;2016
23;01.06.2018;01.06.2019;;180,6988474;0,382821646;2018
24;23.06.2016;23.06.2017;02.01.2017;181,0794342;0,430796517;2016
25;26.11.2018;26.11.2019;;276,9183131;0,324407091;2018
26;27.11.2016;27.11.2017;27.11.2017;237,7066582;0,157147313;2016
27;30.04.2016;30.04.2017;;139,9990736;0,338732059;2016
28;12.02.2016;12.02.2017;12.02.2017;195,2775073;0,334313701;2016
29;01.05.2018;01.05.2019;01.05.2019;228,3277425;0,301407851;2018
30;21.12.2019;21.12.2020;;615,6875218;0,319521366;2019
31;17.03.2017;17.03.2018;;130,585868;0,60133942;2017
32;04.09.2017;04.09.2018;04.09.2018;378,2463415;0,426671571;2017
33;26.11.2017;26.11.2018;;220,7905554;0,798170959;2017
34;08.07.2016;08.07.2017;;331,6678117;0,075855665;2016
35;25.10.2018;16.02.2019;16.02.2019;244,8423013;0,126436525;2018
36;30.05.2019;15.02.2020;31.05.2019;231,8326106;35,40137286;2019
37;09.02.2017;09.02.2018;03.04.2017;170,5539701;0,829097225;2017
39;07.03.2018;07.03.2019;;227,953177;0,913887846;2018
40;28.02.2016;28.02.2017;28.02.2017;305,7397608;0,976794733;2016
42;07.08.2016;07.08.2017;07.08.2017;181,3470434;6,236394022;2016
44;04.06.2016;04.06.2017;04.06.2017;202,6505186;0,239770531;2016
45;23.09.2017;23.09.2018;24.10.2017;180,017936;0,71153702;2017
46;28.06.2019;28.06.2020;;200,8455628;0,879445719;2019
49;21.10.2017;21.10.2018;21.10.2018;297,4419382;0,165332409;2017
50;06.07.2019;06.07.2020;;621,5724577;0,750764471;2019
51;13.06.2019;13.06.2020;;109,0553048;0,594100866;2019
52;04.06.2018;04.06.2019;;252,7630039;0,011382767;2018
54;17.05.2016;17.05.2017;17.05.2017;258,6907579;0,688551638;2016
56;08.05.2016;08.05.2017;08.05.2017;316,3917869;0,888200349;2016
57;19.03.2017;19.03.2018;;138,3530579;0,044491074;2017
58;13.06.2016;13.06.2017;13.06.2017;152,0523874;0,324506145;2016
59;04.03.2018;04.03.2019;;252,9034155;0,234199674;2018
60;15.05.2017;15.05.2018;15.05.2018;180,0844455;15,36747539;2017
61;17.11.2017;17.11.2018;17.11.2018;104,5104488;0,136043252;2017
62;09.05.2019;09.05.2020;;208,2950479;13,92927356;2019
63;24.01.2017;03.06.2017;25.01.2017;298,1755331;0,413679586;2017
64;11.01.2016;11.01.2017;;;;2016
65;12.02.2019;12.02.2020;;100,8612494;0,502129047;2019
66;05.05.2016;05.05.2017;05.05.2017;184,6345744;5,435923855;2016
67;01.07.2018;01.07.2019;;85,34949557;0,940756957;2018
68;29.12.2016;29.12.2017;29.12.2017;81,01770372;0,562554396;2016
69;27.08.2018;23.11.2018;31.08.2018;196,7320169;0,845978048;2018
70;12.04.2018;12.04.2019;12.04.2019;180,4510467;0,975766447;2018
72;11.01.2017;11.01.2018;27.01.2017;129,8986015;0,381525129;2017
74;04.08.2016;04.08.2017;04.08.2017;107,5339747;0,006557038;2016
75;16.03.2018;16.03.2019;;137,020757;0,29930563;2018
76;29.11.2016;29.11.2017;;119,8843715;0,929589001;2016
77;17.11.2018;17.11.2019;;123,2531155;1,808734516;2018
78;10.04.2018;10.04.2019;;169,9596944;3,43241956;2018
79;15.06.2016;15.06.2017;15.06.2017;122,1069838;0,079096999;2016
80;04.06.2016;04.06.2017;;112,1515421;0,593473656;2016
81;24.05.2019;24.05.2020;;122,7630299;0,499652225;2019
82;11.06.2018;11.06.2019;;146,3503029;0,077260745;2018
84;30.05.2016;04.03.2017;04.03.2017;161,0517242;2,920215699;2016
85;12.06.2016;12.06.2017;12.06.2017;139,8005885;0,71134737;2016
86;15.11.2016;15.11.2017;15.11.2017;109,0057734;0,905354888;2016
87;12.09.2018;12.09.2019;;155,9900015;0,173132169;2018
88;11.06.2017;11.06.2018;;90,27181548;17,71614465;2017
89;21.02.2018;21.02.2019;;157,0659672;5,520036965;2018
90;28.08.2017;28.08.2018;28.08.2018;85,5443211;0,654186884;2017
92;11.08.2016;11.08.2017;11.08.2017;155,1034962;0,395492441;2016
93;27.05.2018;01.05.2019;;101,3769893;0,599403184;2018
94;18.08.2018;18.08.2019;;161,2011503;0,962311508;2018
95;22.04.2017;22.04.2018;22.04.2018;51,41885896;0,312149445;2017
96;29.09.2017;29.09.2018;;161,0018145;0,765849334;2017
97;10.07.2016;10.07.2017;10.07.2017;74,04776882;0,603378334;2016
99;19.12.2016;28.02.2017;09.01.2017;227,3394399;0,898972845;2016
100;14.01.2017;14.01.2018;;120,8930074;0,179903615;2017
101;17.08.2017;17.08.2018;17.08.2018;148,1292557;0,744819901;2017
102;08.08.2016;08.08.2017;;91,01798487;0,035004116;2016
103;28.01.2019;28.01.2020;24.02.2019;135,1923073;0,244153149;2019
104;27.01.2019;27.01.2020;;110,9482135;0,79771698;2019
105;10.07.2017;10.07.2018;10.07.2018;77,15737358;0,414479576;2017
106;05.06.2018;05.06.2019;08.02.2019;108,9700118;0,135880685;2018
107;07.07.2016;07.07.2017;07.07.2017;96,91195667;0,825635029;2016
108;07.11.2018;04.11.2019;14.07.2019;99,52765768;0,000826757;2018
109;18.12.2017;18.12.2018;18.12.2018;73,81359816;10,93063876;2017
110;18.03.2017;18.03.2018;18.03.2018;121,1050016;15,11359577;2017
111;27.06.2018;27.06.2019;;150,8011238;0,315442439;2018
114;21.07.2019;21.07.2020;01.09.2019;309,5705099;0,050111645;2019
115;03.02.2017;03.02.2018;;73,57178236;12,31188066;2017
116;27.04.2019;27.04.2020;;103,536157;0,651341161;2019
117;29.12.2019;29.12.2020;;129,8223298;12,70550292;2019
119;05.09.2019;05.09.2020;;164,1534509;0,543498543;2019
120;08.07.2016;08.07.2017;;120,1891536;0,023386526;2016
121;12.07.2017;12.07.2018;;156,2878141;10,56518095;2017
122;19.07.2019;19.07.2020;;;;2019
123;13.03.2016;13.03.2017;;116,4272041;0,413442226;2016
124;19.11.2018;19.11.2019;;123,0464177;0,389112752;2018
125;25.06.2018;05.07.2018;;;;2018
126;22.01.2016;22.01.2017;;136,9517367;0,859284255;2016
127;15.09.2019;15.09.2020;;144,1690775;0,392980159;2019
128;25.06.2018;25.06.2019;26.07.2018;480,1909855;0,6394438;2018
129;12.10.2017;13.12.2017;13.12.2017;256,4281712;0,081997866;2017
130;19.04.2019;19.04.2020;19.04.2020;523,5207549;0,503930392;2019
131;16.03.2017;16.03.2018;16.03.2018;219,5134114;3,2129388;2017
132;10.05.2019;11.06.2019;;223,8600779;0,212955988;2019
133;13.02.2019;13.02.2020;28.10.2019;257,6123672;43,96936487;2019
134;09.11.2017;09.11.2018;05.02.2018;321,6592381;0,019615388;2017
135;29.09.2016;29.09.2017;29.03.2017;376,8018165;0,381537184;2016
136;21.01.2017;22.09.2017;22.09.2017;332,0526562;0,238274504;2017
137;20.06.2016;20.06.2017;20.06.2017;457,143158;0,031347997;2016
139;09.06.2016;09.06.2017;09.06.2017;494,2631434;0,425688191;2016
140;03.10.2017;03.10.2018;21.10.2017;417,3180111;0,389177451;2017
141;06.11.2016;06.11.2017;06.11.2017;322,6366172;0,917385989;2016
142;19.10.2019;19.10.2020;;164,6374665;3,071259156;2019
143;04.02.2018;04.02.2019;12.07.2018;434,1598863;0,306919472;2018
144;13.06.2016;13.06.2017;13.06.2017;275,6139013;5,438133668;2016
146;28.03.2018;28.03.2019;28.03.2019;139,7815671;0,763196412;2018
147;02.11.2017;02.11.2018;;396,5506339;5,458963326;2017
148;26.10.2018;26.10.2019;26.10.2019;629,8731597;0,084902723;2018
149;21.11.2019;21.11.2020;;369,6566547;0,417894013;2019
150;10.04.2016;10.04.2017;;553,9346751;3,006488921;2016
151;11.11.2017;11.11.2018;16.07.2018;323,0993777;0,101852868;2017
152;12.01.2018;12.01.2019;;315,3961275;3,259861082;2018
154;24.11.2017;16.07.2018;16.07.2018;516,2837018;3,475074322;2017
155;19.01.2016;19.01.2017;19.01.2017;263,4358106;0,991168021;2016
156;04.11.2019;04.11.2020;;344,0679947;0,375385898;2019
157;10.05.2016;10.05.2017;10.05.2017;307,5973827;4,203211355;2016
158;22.06.2018;22.06.2019;;473,9154774;0,398923264;2018
159;04.02.2019;04.02.2020;;196,657362;16,5130363;2019
160;08.09.2017;08.09.2018;08.09.2018;446,5822097;10,71683024;2017
161;18.06.2018;17.11.2018;17.11.2018;432,6454611;0,418987842;2018
162;14.05.2016;14.05.2017;14.05.2017;600,373462;0,119539371;2016
163;31.01.2019;31.01.2020;;431,3969661;0,26781742;2019
164;16.01.2017;16.01.2018;19.05.2017;485,4593333;17,47842562;2017
165;17.08.2016;17.08.2017;17.08.2017;459,2707636;0,716984869;2016
166;04.08.2018;04.08.2019;;515,3947757;0,754284516;2018
167;06.11.2016;06.11.2017;;258,2416011;0,333600243;2016
168;09.05.2016;09.05.2017;09.05.2017;196,4037222;0,680627807;2016
169;29.06.2017;29.06.2018;29.06.2018;402,6487705;0,220101681;2017
170;08.01.2018;08.01.2019;;;;2018
171;29.12.2016;29.12.2017;29.12.2017;323,793947;0,506949163;2016
172;27.09.2017;27.09.2018;17.08.2018;134,9693536;0,047337761;2017
175;15.04.2018;04.01.2019;20.12.2018;100,0876175;1,314754419;2018
176;02.01.2018;02.01.2019;;69,40145466;46,37188222;2018
177;23.09.2016;23.09.2017;;165,4826798;0,153750856;2016
179;07.06.2019;01.10.2019;01.10.2019;1076,856003;0,577920006;2019
180;10.06.2016;10.06.2017;10.06.2017;173,3887679;0,724860594;2016
182;29.09.2017;29.09.2018;;237,6965981;0,173219812;2017
183;20.02.2017;20.02.2018;20.02.2018;191,478169;0,043305239;2017
186;18.10.2016;18.10.2017;18.10.2017;212,8716593;0,994898808;2016
187;13.10.2018;24.02.2019;;172,1188904;0,360707516;2018
188;23.05.2016;23.05.2017;23.05.2017;247,9676084;2,995989984;2016
189;23.06.2018;23.06.2019;23.06.2019;159,9569115;0,343450093;2018
190;05.03.2018;05.03.2019;05.03.2019;189,4895543;0,764062142;2018
191;16.03.2018;16.03.2019;16.03.2019;154,0280031;0,321391483;2018
192;24.03.2019;24.03.2020;;118,486817;10,11383118;2019
193;07.11.2019;05.04.2020;21.11.2019;202,5822839;0,030035635;2019
194;10.05.2016;10.05.2017;10.05.2017;112,0600795;0,262054158;2016
195;23.04.2017;23.04.2018;;104,914595;0,56472701;2017
196;07.06.2018;07.06.2019;;183,5647234;0,52956504;2018
197;04.07.2017;04.07.2018;04.07.2018;88,88323794;0,952021514;2017
198;14.02.2019;14.02.2020;;122,0616584;10,87273501;2019
199;11.05.2016;11.05.2017;11.05.2017;98,37481897;2,531726543;2016
200;09.07.2017;09.07.2018;08.01.2018;154,0350404;0,01699356;2017
201;05.07.2018;28.09.2018;06.07.2018;206,6441135;0,860061225;2018
202;01.03.2016;01.03.2017;01.03.2017;189,6574905;0,524095236;2016
204;24.04.2019;24.04.2020;;151,3771026;0,513599345;2019
205;13.02.2017;13.02.2018;;142,9716599;0,152681025;2017
206;27.01.2016;27.01.2017;;68,69346097;21,16683285;2016
207;11.05.2016;11.05.2017;11.05.2017;108,2741324;0,837001504;2016
208;29.04.2017;29.04.2018;;351,8160407;5,333418419;2017
210;20.09.2017;20.09.2018;;211,6413255;0,402702133;2017
211;26.07.2017;26.07.2018;;138,4452947;10,00583719;2017
213;14.10.2019;14.10.2020;;131,8797061;0,815999342;2019
215;10.09.2016;10.09.2017;10.09.2017;135,1572747;0,560319009;2016
216;14.06.2016;14.06.2017;14.06.2017;237,2494482;0,671348031;2016
220;16.05.2019;16.05.2020;;264,2063863;0,960028916;2019
222;20.07.2018;20.07.2019;;124,8356474;0,802922525;2018
224;11.03.2018;11.03.2019;;354,3484838;3,436999757;2018
225;26.10.2017;26.10.2018;;204,5888897;20,61878604;2017
226;17.04.2016;17.04.2017;;217,5949444;0,448586031;2016
227;07.02.2019;07.02.2020;02.03.2019;198,2953628;6,120800604;2019
228;31.01.2016;31.01.2017;31.01.2017;285,319485;5,037359167;2016
229;16.10.2019;16.10.2020;;236,2600997;0,755684293;2019
230;19.01.2017;19.01.2018;19.01.2018;117,8388393;0,178725331;2017
231;11.04.2018;11.04.2019;;159,6055135;0,041470858;2018
233;30.12.2019;30.12.2020;;150,2608161;0,360584389;2019
234;14.09.2017;14.09.2018;14.09.2018;99,88929303;32,7309341;2017
235;08.03.2019;08.03.2020;;206,0162169;0,056073569;2019
236;21.02.2017;21.02.2018;21.02.2018;176,7473727;0,302267347;2017
238;07.11.2018;07.11.2019;;210,8461497;0,760931436;2018
240;22.02.2017;22.02.2018;01.09.2017;118,7067558;0,171225088;2017
242;22.05.2018;22.05.2019;22.05.2019;152,2521874;0,884969281;2018
243;17.06.2016;17.06.2017;17.06.2017;311,4085489;0,300460694;2016
244;25.08.2019;25.08.2020;;209,2831351;12,06168338;2019
248;05.06.2019;05.06.2020;;155,0026237;13,27416218;2019
249;14.10.2018;14.10.2019;;140,0657698;0,272036525;2018
251;02.02.2017;02.02.2018;;142,2632586;11,30484073;2017
253;27.11.2016;27.11.2017;27.11.2017;301,0455653;3,274756995;2016
254;26.01.2016;26.01.2017;26.01.2017;211,5203434;0,726119051;2016
255;16.09.2016;16.09.2017;16.09.2017;314,7513386;0,284570506;2016
256;18.07.2016;18.07.2017;18.07.2017;307,6240935;0,73292717;2016
257;29.05.2016;29.05.2017;;297,9197489;8,848487013;2016
258;25.09.2018;25.09.2019;;194,6026298;5,027407615;2018
259;15.04.2016;15.04.2017;15.04.2017;181,8106654;0,319529724;2016
